x,y,site_count,lon,lat
-444.97206703910615,-314.4654088050314,4,8.4737625698324,48.96764150943396
-444.97206703910615,-309.433962264151,4,8.4737625698324,48.967679245283016
-444.97206703910615,-304.4025157232704,4,8.4737625698324,48.96771698113207
-444.97206703910615,-299.37106918238993,2,8.4737625698324,48.96775471698113
-444.97206703910615,-294.33962264150944,5,8.4737625698324,48.96779245283019
-444.97206703910615,-289.30817610062894,3,8.4737625698324,48.967830188679244
-444.97206703910615,-284.27672955974845,3,8.4737625698324,48.9678679245283
-444.97206703910615,-279.2452830188679,3,8.4737625698324,48.967905660377355
-444.97206703910615,-274.21383647798746,6,8.4737625698324,48.96794339622642
-444.97206703910615,-269.1823899371069,3,8.4737625698324,48.96798113207547
-444.97206703910615,-264.1509433962264,4,8.4737625698324,48.96801886792453
-444.97206703910615,-259.1194968553459,7,8.4737625698324,48.96805660377358
-444.97206703910615,-254.08805031446542,5,8.4737625698324,48.96809433962264
-444.97206703910615,-249.05660377358492,6,8.4737625698324,48.968132075471694
-444.97206703910615,-244.0251572327044,4,8.4737625698324,48.968169811320756
-444.97206703910615,-238.9937106918239,6,8.4737625698324,48.96820754716981
-444.97206703910615,-233.9622641509434,4,8.4737625698324,48.96824528301887
-444.97206703910615,-228.9308176100629,5,8.4737625698324,48.96828301886792
-444.97206703910615,-223.8993710691824,3,8.4737625698324,48.96832075471698
-444.97206703910615,-218.8679245283019,4,8.4737625698324,48.96835849056604
-444.97206703910615,-213.8364779874214,5,8.4737625698324,48.968396226415095
-444.97206703910615,-208.80503144654088,6,8.4737625698324,48.96843396226415
-444.97206703910615,-203.77358490566039,4,8.4737625698324,48.968471698113206
-444.97206703910615,-198.7421383647799,6,8.4737625698324,48.96850943396226
-444.97206703910615,-193.71069182389937,4,8.4737625698324,48.968547169811316
-444.97206703910615,-188.67924528301887,5,8.4737625698324,48.96858490566038
-444.97206703910615,-183.64779874213838,4,8.4737625698324,48.968622641509434
-444.97206703910615,-178.61635220125788,7,8.4737625698324,48.96866037735849
-444.97206703910615,-173.58490566037736,5,8.4737625698324,48.968698113207545
-444.97206703910615,-168.55345911949686,4,8.4737625698324,48.9687358490566
-444.97206703910615,-163.52201257861637,5,8.4737625698324,48.96877358490566
-444.97206703910615,-158.49056603773585,5,8.4737625698324,48.96881132075472
-444.97206703910615,-153.45911949685535,4,8.4737625698324,48.96884905660377
-444.97206703910615,-148.42767295597486,5,8.4737625698324,48.96888679245283
-444.97206703910615,-143.39622641509436,3,8.4737625698324,48.96892452830188
-444.97206703910615,-138.36477987421387,4,8.4737625698324,48.96896226415094
-444.97206703910615,-133.33333333333337,5,8.4737625698324,48.969
-444.97206703910615,-128.30188679245282,6,8.4737625698324,48.96903773584906
-444.97206703910615,-123.27044025157232,7,8.4737625698324,48.96907547169811
-444.97206703910615,-118.23899371069183,5,8.4737625698324,48.96911320754717
-444.97206703910615,-113.20754716981133,5,8.4737625698324,48.96915094339622
-444.97206703910615,-108.17610062893084,6,8.4737625698324,48.969188679245285
-444.97206703910615,-103.14465408805034,8,8.4737625698324,48.96922641509434
-444.97206703910615,-98.11320754716985,5,8.4737625698324,48.969264150943395
-444.97206703910615,-93.0817610062893,6,8.4737625698324,48.96930188679245
-444.97206703910615,-88.0503144654088,6,8.4737625698324,48.969339622641506
-444.97206703910615,-83.01886792452831,6,8.4737625698324,48.96937735849056
-444.97206703910615,-77.98742138364781,5,8.4737625698324,48.969415094339624
-444.97206703910615,-72.95597484276732,6,8.4737625698324,48.96945283018868
-444.97206703910615,-67.92452830188682,5,8.4737625698324,48.969490566037734
-444.97206703910615,-62.89308176100633,4,8.4737625698324,48.96952830188679
-444.97206703910615,-57.86163522012578,7,8.4737625698324,48.969566037735845
-444.97206703910615,-52.83018867924528,5,8.4737625698324,48.96960377358491
-444.97206703910615,-47.79874213836479,7,8.4737625698324,48.96964150943396
-444.97206703910615,-42.76729559748429,4,8.4737625698324,48.96967924528302
-444.97206703910615,-37.7358490566038,7,8.4737625698324,48.96971698113207
-444.97206703910615,-32.7044025157233,6,8.4737625698324,48.96975471698113
-444.97206703910615,-27.672955974842807,5,8.4737625698324,48.969792452830184
-444.97206703910615,-22.641509433962256,5,8.4737625698324,48.969830188679246
-444.97206703910615,-17.61006289308176,5,8.4737625698324,48.9698679245283
-444.97206703910615,-12.578616352201266,6,8.4737625698324,48.96990566037736
-444.97206703910615,-7.547169811320771,6,8.4737625698324,48.96994339622641
-444.97206703910615,-2.515723270440276,6,8.4737625698324,48.96998113207547
-444.97206703910615,2.515723270440219,6,8.4737625698324,48.97001886792453
-444.97206703910615,7.547169811320714,5,8.4737625698324,48.970056603773585
-444.97206703910615,12.578616352201266,4,8.4737625698324,48.97009433962264
-444.97206703910615,17.61006289308176,7,8.4737625698324,48.970132075471696
-444.97206703910615,22.641509433962256,7,8.4737625698324,48.97016981132075
-444.97206703910615,27.67295597484275,6,8.4737625698324,48.970207547169814
-444.97206703910615,32.704402515723245,5,8.4737625698324,48.97024528301887
-444.97206703910615,37.73584905660374,5,8.4737625698324,48.970283018867924
